interface_id,name,source_id,target_id,protocol_or_contract,direction,identity_and_policy,data,availability_and_recovery
VV-IF-001,External MCP profile access,VV-EXT-MCP-CLIENT,VV-CMP-001,"HTTPS; MCP Streamable HTTP; JSON-RPC",bidirectional,"Gateway OAuth access token bound to profile and protected resource; per-method and target-aware policy","Tools, resources, templates, prompts, completions, tasks, subscriptions, notifications, structured content",Gateway replicas are stateless over durable control and runtime state
VV-IF-002,Browser console access,VV-EXT-BROWSER,VV-CMP-002,"HTTPS; HTML; same-origin JSON",bidirectional,"Encrypted HttpOnly SameSite session plus CSRF on unsafe requests","Installation projections, task controls, artifact workflows, domain administration",Browser never receives gateway bearer; BFF replicas use encrypted cookie state
VV-IF-003,Console static application,VV-CMP-002,VV-CMP-003,"HTTPS static assets",outbound,"CSP, frame denial, MIME sniff prevention, and same-origin referrer policy","React application assets",Immutable build assets
VV-IF-004,Console to gateway administration,VV-CMP-002,VV-CMP-001,"HTTPS; gateway administration and artifact routes",bidirectional,"BFF-held OAuth token; gateway policy and audit","Safe installation projection and explicit mutations",BFF refresh rotation uses durable gateway token family state
VV-IF-005,Enterprise identity federation,VV-CMP-001,VV-CMP-041,"OIDC discovery; OAuth 2.0; JWKS HTTPS",bidirectional,"Issuer, key, claim, tenant, client, scope, and protected-resource validation","Authorization requests, tokens, claims, public keys",Unknown issuers or keys fail closed
VV-IF-006,Gateway OAuth service,VV-EXT-OAUTH-CLIENT,VV-CMP-001,"OAuth authorization code with PKCE; client credentials; client assertions; ID-JAG",bidirectional,"Authorization server policy; rotating refresh families; replay detection","Authorization codes, access tokens, refresh tokens, metadata",Durable compare-and-swap rotation and bounded duplicate delivery
VV-IF-007,Gateway hosted-server MCP,VV-CMP-001,VV-CMP-HOSTED,"Private HTTP; MCP Streamable HTTP",bidirectional,"Short-lived Ed25519 internal assertion with audience, principal, tenant, labels, and scopes","Canonical server MCP requests and responses",Gateway reconnects per request/session; server state is durable where required
VV-IF-008,Gateway hosted-server administration,VV-CMP-001,VV-CMP-HOSTED,"Private HTTP under canonical server admin mount",bidirectional,"AdminRead or AdminWrite policy, audit, and short-lived internal assertion","Bounded administrative request and response models",Owning server uses the same domain state as its MCP surface
VV-IF-009,Platform persistence,VV-CMP-PLATFORM,VV-CMP-038,"SurrealDB WebSocket at database scope",bidirectional,"Dedicated runtime credentials; tenant-scoped persistence APIs","Identity, policy, control, tasks, artifacts, recordings, agents, audit, outbox",Transactional outbox is authoritative; LIVE is a latency path only
VV-IF-010,Installation bootstrap,VV-CMP-001,VV-CMP-038,"SurrealDB WebSocket at root scope",outbound,"Separate bootstrap credentials","Ordered migrations, runtime user rotation, initial control revision",Runs to completion before long-lived services
